at,timestamp,hr,rr,act
2016-08-05 19:46,1470419169,52,22.7,68
2016-08-05 19:46,1470419171,52,23.2,61
2016-08-05 19:46,1470419173,52,23.6,32
2016-08-05 19:46,1470419175,52,23.8,66
2016-08-05 19:46,1470419177,52,24.1,203
2016-08-05 19:46,1470419179,51,24.2,74
2016-08-05 19:46,1470419181,51,24.3,442
2016-08-05 19:46,1470419183,51,24.6,414
2016-08-05 19:46,1470419185,51,24.7,78
2016-08-05 19:46,1470419187,51,25,57
2016-08-05 19:46,1470419189,51,25,82
2016-08-05 19:46,1470419191,51,25,55
2016-08-05 19:46,1470419193,51,25,35
2016-08-05 19:46,1470419195,51,25,83
2016-08-05 19:46,1470419197,51,25,158
2016-08-05 19:46,1470419199,51,25,963
2016-08-05 19:46,1470419201,51,25,120
2016-08-05 19:46,1470419203,51,25,46
2016-08-05 19:46,1470419205,51,25,25
2016-08-05 19:46,1470419207,51,25,91
2016-08-05 19:46,1470419209,51,25,54
2016-08-05 19:46,1470419211,51,25,73
2016-08-05 19:46,1470419213,54,25,86
2016-08-05 19:46,1470419215,63,25.1,91
2016-08-05 19:46,1470419217,75,25.3,86
2016-08-05 19:46,1470419219,81,25.5,71
2016-08-05 19:47,1470419221,81,25.3,75
2016-08-05 19:47,1470419223,80,25.1,41
2016-08-05 19:47,1470419225,80,24.7,58
2016-08-05 19:47,1470419227,79,24.3,85
2016-08-05 19:47,1470419229,78,24.6,78
2016-08-05 19:47,1470419231,76,25.2,77
2016-08-05 19:47,1470419233,76,25.5,53
2016-08-05 19:47,1470419235,77,25.5,38
2016-08-05 19:47,1470419237,78,25.5,51
2016-08-05 19:47,1470419239,75,25.5,87
2016-08-05 19:47,1470419241,68,25.5,66
2016-08-05 19:47,1470419243,57,25.5,37
2016-08-05 19:47,1470419245,48,25.5,72
2016-08-05 19:47,1470419247,47,25.1,58
2016-08-05 19:47,1470419249,58,25,84
2016-08-05 19:47,1470419251,73,24.8,24
2016-08-05 19:47,1470419253,80,24.6,52
2016-08-05 19:47,1470419255,80,24.2,72
